date,pred,p_up,alloc,regime,btc_fwd,strat,dir_match,variant
2026-01-09,0.012978114187717438,0.4860702157020569,0.1432907015720997,BEAR,0.054165828196600874,0.01012562688157206,True,H=3
2026-01-16,0.019642911851406097,0.6196123957633972,0.33685225603982405,BEAR,-0.062277566290818376,-0.019148322091332645,False,H=3
2026-01-23,0.020566757768392563,0.6851309537887573,0.3872384222810044,BEAR,-0.059595474388132286,-0.021386686078837175,False,H=3
2026-01-30,-0.005140791181474924,0.5670525431632996,0.0,BEAR,-0.2533883911664886,0.00220706432665585,True,H=3
2026-02-05,0.045479513704776764,0.8770192861557007,0.9064187504936253,BEAR,0.12192683309102881,0.11056835998068051,True,H=3
2026-02-06,0.019083604216575623,0.8291470408439636,0.3789532392020307,BEAR,-0.024458680089871954,-0.007554860930838151,False,H=3
2026-02-13,0.02813483402132988,0.787467360496521,0.5552526470487792,BEAR,-0.012111866913682379,-0.00598915956737782,False,H=3
2026-02-20,0.016011880710721016,0.7331939935684204,0.3108316722326798,BEAR,-0.03157761958576588,-0.007913501514995208,False,H=3
2026-02-27,0.03691243380308151,0.8118991851806641,0.7314512582402701,BEAR,0.03403443946678486,0.025635618290041923,True,H=3
2026-03-06,0.003872982691973448,0.587531566619873,0.06103900540989797,BEAR,0.04134214953103621,0.005114632095888742,True,H=3
2026-03-13,0.02412276528775692,0.7314762473106384,0.4679260175053597,BEAR,-0.005911039052587164,-0.0013068474905938087,False,H=3
2026-03-20,0.012999951839447021,0.6991394758224487,0.24751585236484747,BEAR,-0.05819610717404289,-0.012360526716524513,False,H=3
2026-03-27,0.019371211528778076,0.8112640380859375,0.383823195065619,BEAR,0.008387935780534983,0.0045580714350857785,True,H=3
2026-04-03,0.03513745218515396,0.909034252166748,0.7012311497861297,BEAR,0.08957608755710122,0.06362507268400235,True,H=3
2026-04-10,0.0349699929356575,0.86943519115448,0.6966685472361445,BEAR,0.05632055831267224,0.04006068450494948,True,H=3
2026-04-17,0.01842896081507206,0.7354022860527039,0.35809608875943794,BEAR,-0.009547565912393696,-0.0030706104339272957,False,H=3
2022-01-07,0.05816546827554703,0.759750485420227,1.0,BEAR,0.03592991275662505,0.03592991275662505,True,H=7_sameK
2022-01-14,-0.008021198213100433,0.4009063243865967,0.0,BEAR,-0.15361486633986654,0.0017386579126654755,True,H=7_sameK
2022-01-21,0.1257534623146057,0.8883966207504272,1.0,BEAR,0.034881031331603474,0.034881031331603474,True,H=7_sameK
2022-01-28,0.09527166932821274,0.7452982664108276,1.0,BEAR,0.10228106699020278,0.10228106699020278,True,H=7_sameK
2022-02-04,0.044647928327322006,0.333221971988678,0.8253248486215189,BEAR,0.019230172522655353,0.01622223874629033,True,H=7_sameK
2022-02-11,0.04804021120071411,0.3121247887611389,0.9066606106752062,BEAR,-0.056622109972381485,-0.051149423315114254,False,H=7_sameK
2022-02-18,0.030805498361587524,0.39362630248069763,0.5122358546679798,BEAR,-0.018893823152994815,-0.008697680833103532,False,H=7_sameK
2022-02-25,0.11263096332550049,0.7525975108146667,1.0,BEAR,0.10048223866032857,0.10048223866032857,True,H=7_sameK
2022-02-28,0.035385612398386,0.7460101246833801,0.6904723884927494,BEAR,-0.09294114921223351,-0.06380015428891113,False,H=7_sameK
2022-03-04,0.04636401683092117,0.576667308807373,0.7042811701352709,BEAR,0.07134471524695862,0.050603235714881914,True,H=7_sameK
2022-03-09,0.06042221188545227,0.5405006408691406,0.7823135697677543,BEAR,-0.0765858139784954,-0.059739205833480774,False,H=7_sameK
2022-03-11,0.11294040828943253,0.6195433139801025,1.0,BEAR,0.07818160645728844,0.07818160645728844,True,H=7_sameK
2022-03-18,0.04940548911690712,0.46533316373825073,0.6196914306474756,BEAR,0.061202164592668584,0.038758900647569594,True,H=7_sameK
2022-03-25,0.0425402894616127,0.762236475944519,0.8344717416061642,BEAR,0.04446376651992301,0.0374660755216152,True,H=7_sameK
2022-04-01,0.012031381018459797,0.3339000642299652,0.2222301271508299,BEAR,-0.08710406237731849,-0.017654714431441954,False,H=7_sameK
2022-04-08,0.01986640691757202,0.4109223484992981,0.31462767642228445,BEAR,-0.04023737568934593,-0.011459905075080438,False,H=7_sameK
2022-04-15,0.02517807111144066,0.6046436429023743,0.41681509628184005,BEAR,-0.020781270421361242,-0.007640960641505087,False,H=7_sameK
2022-04-22,-0.08588463068008423,0.3998468518257141,0.0,BEAR,-0.0280305460853133,0.0021888639370755136,True,H=7_sameK
2022-04-29,-0.0622452087700367,0.5413464307785034,0.0,BEAR,-0.06690674267432661,0.0022597891420201854,True,H=7_sameK
2022-05-06,-0.06585761904716492,0.44555944204330444,0.0,BEAR,-0.16486638305292656,0.0004727899999998897,True,H=7_sameK
2022-05-09,0.004600430838763714,0.8248884081840515,0.09131028619512822,BEAR,-0.0262419159797197,-0.0006764601165159324,False,H=7_sameK
2022-05-13,0.027266334742307663,0.7607840895652771,0.534631271202811,BEAR,-0.0029378172263850866,-0.00046949981942533896,False,H=7_sameK
2022-05-20,-0.060574792325496674,0.6581036448478699,0.0,BEAR,-0.019561309694424933,0.0023661863609196754,True,H=7_sameK
2022-05-27,-0.0534956268966198,0.6782750487327576,0.0,BEAR,0.03738796638467612,0.0023661863609196754,False,H=7_sameK
2022-06-03,-0.10125663131475449,0.5818825960159302,0.0,BEAR,-0.02048234675781746,0.0023661863609196754,True,H=7_sameK
2022-06-10,-0.061984140425920486,0.7342935800552368,0.0,BEAR,-0.22702107942147431,0.0004727899999998897,True,H=7_sameK
2022-06-13,0.03479056805372238,0.9285162091255188,0.6946886788514264,BEAR,-0.09276746410547054,-0.06415574255441793,False,H=7_sameK
2022-06-16,0.03808252513408661,0.80316162109375,0.7536658223527242,BEAR,0.0033086110646816103,0.002614381969601501,True,H=7_sameK
2022-06-17,0.010607835836708546,0.8088070750236511,0.21011144237273263,BEAR,0.005139038371062998,0.0010797707645528649,True,H=7_sameK
2022-06-19,0.009079920127987862,0.8095006942749023,0.179865669650435,BEAR,0.032258675998833475,0.007815047803195911,True,H=7_sameK
2022-06-24,-0.0696941390633583,0.5675948858261108,0.0,BEAR,-0.09218940477989834,0.002454255806815686,True,H=7_sameK
2022-07-01,-0.02876271866261959,0.6735736131668091,0.0,BEAR,0.12007126629944298,0.002454255806815686,False,H=7_sameK
2022-07-08,-0.07651256024837494,0.3408580422401428,0.0,BEAR,-0.035411847787077844,0.002454255806815686,True,H=7_sameK
2022-07-15,-0.11618821322917938,0.25298818945884705,0.0,BEAR,0.08904399607489966,0.002454255806815686,False,H=7_sameK
2022-07-22,-0.16232594847679138,0.2539900839328766,0.0,BEAR,0.04800212300466877,0.002454255806815686,False,H=7_sameK
2022-07-29,-0.15735945105552673,0.22785821557044983,0.0,BEAR,-0.019405016036595057,0.0024893448554390574,True,H=7_sameK
