date,mempool_size_bytes,mempool_tx_count,miners_revenue_usd,cost_per_tx_usd,total_fees_usd,n_transactions,sopr,nupl,sth_sopr,realized_price,sopr_ma7,sopr_ma30,sopr_below_1,nupl_ma30,nupl_capitulation,nupl_euphoria,sth_sopr_ma7,sth_capitulation,mempool_ma7,mempool_congestion,miners_revenue_ma30,miners_revenue_ratio
2023-03-08,,,,,,,0.9954852951338482,0.0896,0.993576536,19756.1848,0.9861828458802792,0.9971554867783496,1,0.1391383333333333,0,0,0.9995126799285714,1,14173.5,,23098346.25714934,
2023-03-09,63450599.5,40322.5,19039458.643895358,56.52139693723499,44.79625681,336854.0,0.9863391992143186,0.0302,0.9995164325,19736.1741,0.9846445888546184,0.9966225658687096,1,0.1352616666666666,0,0,0.9974901390857144,1,22542.666666666668,1.7887191695747322,22590985.30549259,0.842790094651881
2023-03-10,,,,,,,0.9814932112232868,0.0609625,0.9922004728,19752.5459375,0.9831541635958512,0.9958594179458982,1,0.1328204166666666,0,0,0.9952849348142856,1,22542.666666666668,,22590985.30549259,
2023-03-11,66041905.0,13337.0,,,,,0.9948931226111102,0.091725,0.9661930045,19768.917775,0.9825230618625744,0.9957308027905298,1,0.1328745833333333,0,0,0.9923198490571428,1,21543.0,0.6190874065821844,22485081.899548102,
2023-03-12,,,,,,,0.999930955654208,0.1224875,0.9739975109,19785.2896125,0.9849694005747258,0.9958990447625916,1,0.1342208333333333,0,0,0.9881564603857144,1,21543.0,,22485081.899548102,
2023-03-13,,,23087128.98074996,69.30844737801957,26.126984639999996,333107.0,1.0183920396164143,0.15325,0.9718045583,19801.66145,0.988384362802111,0.9965448519368656,0,0.1362491666666666,0,0,0.9850359348714284,1,21543.0,,22560337.784698337,1.023350323965846
2023-03-14,53952714.5,9918.5,,,,,1.020447729106308,0.1840125,1.0276768214,19818.0332875,0.999568793222785,0.9972871493044352,0,0.1394295833333333,0,0,0.9892807623428572,0,21192.666666666668,0.4680156657963446,22560337.784698337,
2023-03-15,,,,,,,1.0098817642362732,0.214775,1.065021868,19834.405125,1.0016254316659885,0.9977449943832168,0,0.1435954166666666,0,0,0.9994872383428574,0,21192.666666666668,,22687897.73047691,
2023-03-16,64707712.0,19707.0,,,,,1.0099357304031389,0.2455375,1.0356597198,19850.7769625,1.0049963646929627,0.99810250632985,0,0.14821,0,0,1.0046505651000002,0,14320.833333333334,1.37610707011929,22687897.73047691,
2023-03-17,,,25280852.552496247,74.61374390905058,42.51131127999999,338823.0,1.0299927720851023,0.2763,1.050597885,19867.1488,1.011924873387508,0.998764060285639,0,0.1513266666666667,0,0,1.012993052557143,0,14320.833333333334,,23012017.08322933,1.0985935070820194
2023-03-18,61064333.5,13930.5,,,,,1.010834012156919,0.2636,1.0220070553,19872.7431,1.0142021433226236,0.9986641542055116,0,0.1546733333333333,0,0,1.0209664883857144,0,14518.666666666666,0.95948893378639,23012017.08322933,
2023-03-19,,,,,,,1.0101249500562397,0.2944,1.0322346924,19888.1708,1.0156584282371994,0.9988548285616702,0,0.1580833333333333,0,0,1.0292860857428572,0,14518.666666666666,,22625976.677229613,
2023-03-20,,,,,,,1.0110566840129973,0.2849,1.0495929607,19905.145,1.014610520293854,0.9990926984328394,0,0.16115,0,0,1.0403987146571427,0,14518.666666666666,,22625976.677229613,
2023-03-21,67866062.5,18883.5,26497064.86479075,79.39932957005969,28.88659712000001,327932.0,1.0118031699480463,0.2927,1.0683836108,19925.7444,1.0133755832712452,0.9993207271120592,0,0.1647766666666666,0,0,1.0462139702857145,0,17507.0,1.0786256925801108,23109862.700674757,1.1465695494598112
2023-03-22,,,,,,,1.008606460918696,0.271,1.0554915032,19932.6005,1.01319339708302,0.9994050649799312,0,0.1672133333333333,0,0,1.0448524896,0,17507.0,,23109862.700674757,
2023-03-23,68076537.0,28346.5,,,,,1.0186059983610551,0.2967,1.1089439633,19964.942,1.0144320067912935,0.9999073528313398,0,0.1709466666666667,0,0,1.0553216672428571,0,20386.83333333333,1.3904317328995022,22623791.76347981,
2023-03-24,,,,,,,1.0059381723166367,0.2728,1.0330917428,19970.5484,1.0109956353957987,1.0002778176941416,0,0.1741433333333333,0,0,1.0528207897857145,0,20386.83333333333,,22623791.76347981,
