time,asset_futures-funding-rate_funding-rate-open-interest,asset_futures-funding-rate_funding-rate-volume,asset_futures-open-interest_open-interest,asset_futures-volume_trade-count,asset_futures-volume_volume-usd,asset_futures-volume_volume-buy-usd,asset_futures-volume_volume-sell-usd,asset_marketcap_circulating-marketcap,asset_marketcap_circulating-marketcap-dominance,asset_marketcap_fully-diluted-marketcap,asset_price_open,asset_price_high,asset_price_low,asset_price_close,asset_price_volume,asset_sharpe-ratio_sharpe-ratio-30d,asset_sharpe-ratio_sharpe-ratio-90d,asset_sharpe-ratio_sharpe-ratio-1y,asset_sharpe-ratio_sharpe-ratio-3y,asset_supply_circulating-supply,asset_supply_total-supply,asset_volatility_volatility-30d,asset_volatility_volatility-90d,asset_volatility_volatility-1y,asset_volatility_volatility-3y,network_activity_txnCount24Hour,network_activity_activeAddresses24Hour,network_activity_newContractsDeployed24Hour,network_activity_contractDeployers24Hour,network_ecosystem_tvl24HourUsd,network_ecosystem_dexVolume24HourUsd,network_ecosystem_coreCommits24Hour,network_ecosystem_activeDevelopers24Hour,network_ecosystem_ecosystemCommits24Hour,network_financial_feeMedian24HourUsd,network_financial_rolling7dAvgFees,network_financial_avgFeePerTxn24Hour,network_financial_feesTotal24HourUsd,network_financial_feesSupplySide24HourUsd,network_financial_expenses24HourUsd,network_financial_revenue24HourUsd,network_financial_tokenIncentives24HourUsd,network_stablecoin_mints24HourUsd,network_stablecoin_burns24HourUsd,network_stablecoin_outstandingSupplyUsd,network_stablecoin_transferVolumeUsd
2012-04-05,,,,,,,,42873255.0,100.0,98167899.0243,4.92469,5.04,4.870394069161808,4.9189,167141.16180254685,-0.6038932013515161,-1.24628310792184,1.9041659154878567,2.557528654208292,8716025.0,,0.5622633609208899,0.8764884798469695,1.7320711518380134,1.677310209489428,7028.0,8556.0,,,,,14.0,9.0,14.0,,,,,,,,,,,,
2012-04-06,,,,,,,,43172496.0,100.0,98786774.49417,4.9189,4.978529765432088,4.841313787157041,4.94991,289837.1396484362,-0.4768930801146385,-1.0672897797317005,1.9139600559573928,2.557663045560106,8721875.0,,0.5627837276047332,0.8745425025287232,1.7319666079936769,1.675962247172929,6699.0,8665.0,,,,,5.0,10.0,5.0,,,,,,,,,,,,
2012-04-07,,,,,,,,40920326.0,100.0,93561847.8872102,4.949904348319846,4.95002,4.688104544831679,4.688104544831679,386696.9820847659,-1.2895925421430423,-1.3820046440920606,1.877244786503803,2.535921696393577,8728543.75,,0.5889025915332966,0.8793041185988331,1.7330871132515482,1.6753446420368203,6080.0,7037.0,,,,,6.0,11.0,6.0,,,,,,,,,,,,
2012-04-08,,,,,,,,41897553.0,100.0,95724727.94976,4.688385218962291,4.8,4.620749370512088,4.79648,196811.84575145668,-0.6473462814585463,-1.5042935674110878,1.8937466361156388,2.5419213659602016,8735062.5,,0.5944202459716645,0.8748132561118728,1.7330877842854695,1.6740200670030227,5915.0,6672.0,,,,,0.0,11.0,0.0,,,,,,,,,,,,
2012-04-09,,,,,,,,42593262.0,100.0,97230106.10817,4.79,4.877118140773958,4.7,4.87191,187704.6116606598,-0.0302734544539275,-0.9503498860172396,1.91973584108385,2.545853531212133,8742620.83,,0.5957018611173744,0.8491495768096684,1.7327335776626536,1.672681143343971,6617.0,7862.0,,,,,4.0,11.0,4.0,,,,,,,,,,,,
2012-04-10,,,,,,,,42320000.0,100.0,96527210.46003,4.8719,4.900000000000001,4.75,4.83669,256697.0375126413,-0.0460546569253205,-1.033591846642966,1.9258704288190889,2.5411796427057927,8749785.42,,0.5958086958538287,0.8488305391698754,1.7326048649798589,1.6714028478437606,8468.0,9315.0,,,,,4.0,11.0,4.0,,,,,,,,,,,,
2012-04-11,,,,,,,,43159339.0,100.0,98357717.11280838,4.83701,4.978992523159865,4.78,4.928411217056125,327992.0919369585,0.0188539527408319,-1.2914902738294138,1.911141064726776,2.545731040487828,8757252.08,,0.5969294755569483,0.8374470554376141,1.7322577328239002,1.6700743275109853,7858.0,9906.0,,,,,7.0,10.0,7.0,,,,,,,,,,,,
2012-04-12,,,,,,,,42892586.0,100.0,97670962.578,4.927300000000001,4.940938976673448,4.730156078964236,4.894,229454.27302975097,-0.038818810924297,-1.2548678590082627,1.8561878703146897,2.541236616391512,8764320.83,,0.5972334311292008,0.8371614872695867,1.7303736590097418,1.6687991214302245,8290.0,10150.0,,,,,7.0,10.0,7.0,,,,,,,,,,,,
2012-04-13,,,,,,,,43153779.0,100.0,98194535.04214078,4.89103,4.940000000000001,4.749826969425067,4.92023465123996,454757.1736784781,-1.6396398627442603,-0.9678859763366556,1.807365398435364,2.5412766770895088,8770675.0,,0.532181974081037,0.830586571822495,1.7283022098867262,1.6674734172457557,7041.0,8477.0,,,,,9.0,10.0,9.0,,,,,,,,,,,,
2012-04-14,,,,,,,,43530553.0,100.0,98982156.33390002,4.939896172758158,5.027560000000001,4.906699870671514,4.959700000000001,315533.26904170815,-2.0286469388119848,-1.2123643612099957,1.7726781700886698,2.5406269285230367,8776852.08,,0.5266422441612325,0.8233730858287449,1.7273755864074631,1.666155407948428,8027.0,9176.0,,,,,5.0,10.0,5.0,,,,,,,,,,,,
