date,spot_open,spot_high,spot_low,spot_close,spot_volume_btc,spot_volume_usd,spot_trade_count,spot_taker_buy_btc,spot_taker_buy_usd,futures_open,futures_high,futures_low,futures_close,futures_volume_btc,futures_volume_usd,binance_funding_daily,binance_funding_mean,binance_funding_max,binance_funding_min,funding_count,gap_pct,true_range,atr_14,atr_pct,intraday_range_pct,candle_body_ratio,upper_shadow_ratio,lower_shadow_ratio,candle_direction,spot_taker_buy_ratio,spot_taker_sell_ratio,volume_per_trade,trade_count_zscore,basis_pct,basis_annualized,basis_ma7,basis_ma30,basis_zscore,has_futures_data,has_funding_data
2021-04-03,58950.01,59791.72,56880.0,57051.94,47409.852113,2783151686.164537,1606805,23057.967017,1353960264.6219625,59028.99,59925.0,56900.0,57134.65,198636.171,11672141257.5295,0.0027242300000000002,0.0009080766666666667,0.00107843,0.00063267,3.0,0.0,2911.720000000001,3054.167857142858,5.353311135682429,5.103630130719483,0.6518724327888668,0.2890765595592979,0.05905100765183543,-1.0,0.48635391146215784,0.5136460885378422,0.02950566628371209,-1.0615964056066034,0.14497315954549334,0.5798926381819733,0.10359745404128944,0.08708532621282321,1.007630827105342,1,1
2021-04-04,57051.95,58492.85,56388.0,58202.01,41314.081973,2380139010.7302322,1499113,20609.134161,1187123542.5798833,57134.65,58553.0,56517.23,58234.61,152454.122,8785593781.4487,0.00127106,0.0004236866666666667,0.0005209,0.00026521,3.0,1.7527887736615636e-05,2104.8499999999985,2980.3007142857155,5.120614759328269,3.6164558577959736,0.5463857281991619,0.13817611706297203,0.3154381547378661,1.0,0.49884042381647725,0.5011595761835228,0.02755901788124044,-1.275592935164569,0.0560118112759311,0.2240472451037244,0.10456867310983071,0.0876628591717689,-0.7157989405568513,1,1
2021-04-05,58202.01,59272.0,56777.77,59129.99,54258.01579,3155214764.164485,2035877,27269.49269,1586344787.5541687,58234.61,59385.0,56808.94,59243.39,174338.646,10144751892.15272,0.0012009,0.00040029999999999997,0.00043217,0.00037409,3.0,0.0,2494.230000000003,2816.9792857142866,4.764044921560593,4.218214817895291,0.3720506929994406,0.056935406919170185,0.5710139000813892,1.0,0.5025891989036926,0.4974108010963074,0.026650930183896176,0.14968082529431861,0.19178085435157602,0.7671234174063041,0.12151354522108641,0.0922819025581034,1.902958952751586,1,1
2021-04-06,59129.99,59495.24,57413.02,57991.15,54201.000727,3166911557.1481576,1960513,26699.197872,1560539125.7780592,59243.4,59626.18,57500.0,58059.99,165562.029,9681501016.80336,0.00238701,0.0007956700000000001,0.00097189,0.00057776,3.0,0.0,2082.220000000001,2763.502142857144,4.765385999169087,3.5905823561008896,0.5469354823217507,0.17541374110324548,0.27765077657500375,-1.0,0.49259603169466776,0.5074039683053322,0.02764633579425385,-0.08348685445273,0.118707768340508,0.474831073362032,0.12689908571758826,0.09470072127691044,0.5025807029791735,1,1
2021-04-07,57990.03,58655.0,55473.0,55953.45,71228.405659,4053294016.484514,2206433,34737.582155,1977438033.9286296,58060.0,58720.0,55536.07,56018.18,265271.707,15106714000.51917,0.00165018,0.00055006,0.00057609,0.0005366,3.0,-0.0019313291769565172,3182.0,2597.930714285715,4.643021501418974,5.6868700678867885,0.6400314267756134,0.20897862979258364,0.15098994343180297,-1.0,0.48769282189613017,0.5123071781038698,0.03228215207939693,0.594603164134459,0.11568544924397549,0.46274179697590195,0.1272065562458901,0.0951036126156112,0.4606903849414572,1,1
2021-04-08,55953.44,58153.31,55700.0,58077.52,44283.147019,2531779682.552427,1661080,22161.69051,1267126859.4438903,56018.17,58200.0,55759.13,58122.26,161389.858,9238696877.00206,0.0009195200000000001,0.0003065066666666667,0.00040784,0.00024943,3.0,-1.787199894691268e-05,2453.3099999999977,2568.9214285714293,4.423262957115644,4.224198967173526,0.8658017127880278,0.030892956862361848,0.10330533034961036,1.0,0.5004542811849251,0.4995457188150749,0.02665925001745852,-0.8930604803263489,0.07703496981276962,0.3081398792510785,0.12031318468686174,0.09565023069581542,-0.2853524544708545,1,1
2021-04-09,58077.52,58894.9,57654.0,58142.54,40831.884911,2378340697.289584,1615962,20354.234456,1185679367.9100363,58122.93,58950.0,57700.0,58176.03,141690.144,8260112160.68546,0.00067697,0.0002256566666666667,0.00026301,0.00019611,3.0,0.0,1240.9000000000015,2381.9242857142863,4.096698021301248,2.134237685522513,0.05239745346120074,0.6063018776694332,0.34130066886936605,1.0,0.49848873007860145,0.5015112699213986,0.02526784968396534,-0.9707144912711514,0.05759982278035662,0.23039929112142649,0.1088276907643729,0.09181747898483786,-0.653588495765262,1,1
2021-04-10,58142.55,61500.0,57900.01,59769.13,69906.424117,4197138552.4690337,2470398,36018.637566,2162858397.75344,58176.04,61800.0,57943.95,59832.43,240907.592,14476191585.21529,0.00281235,0.0009374499999999999,0.00148624,0.00012959,3.0,1.7199111015853912e-05,3599.989999999998,2442.612142857143,4.086745353089703,6.023159447025577,0.45182903285842335,0.4807985577737726,0.06737240936780409,1.0,0.5152407381861905,0.48475926181380946,0.028297636298685477,1.5677876723247,0.1059075144644115,0.423630057857646,0.10324688432421834,0.0912304773266027,0.32006501076152516,1,1
2021-04-11,59769.13,60699.0,59232.52,60002.43,41156.715391,2462032926.617981,1746102,20798.058779,1244349091.4434772,59832.43,60816.88,59304.02,60090.2,148499.824,8896497492.08689,0.0029216,0.0009738666666666666,0.00105998,0.00086735,3.0,0.0,1466.4800000000032,2413.938571428572,4.023068018126219,2.444034349942166,0.15908842943647536,0.474994544760241,0.36591702580328367,1.0,0.5053381588256687,0.4946618411743313,0.023570624964062807,-0.535672609890947,0.1462774090982595,0.585109636393038,0.11614196972740812,0.09206887979903582,1.1077799185567438,1,1
2021-04-12,59998.8,61300.0,59350.59,59860.0,56375.037117,3393042867.8714666,1806298,27645.201153,1664588823.4110289,60093.26,61449.91,59500.0,59911.18,196147.561,11824507197.55324,0.00294494,0.0009816466666666666,0.00106358,0.00093793,3.0,-0.006049754984918745,1949.4100000000035,2295.6242857142865,3.834988783351631,3.25661543601738,0.07120103005524885,0.6674840079818996,0.26131496196285164,-1.0,0.49038018539350176,0.5096198146064983,0.031210263819701954,-0.2915335598947824,0.08549949883060523,0.3419979953224209,0.100958918938698,0.09061412489060258,-0.1374755295698442,1,1
