date,price_usd,price_open,price_high,price_low,volume_usd,futures_close,futures_volume_usd,eth,gold,copper,m2_supply,fed_balance_sheet,nupl,miners_revenue_usd,stablecoin_supply,hash_rate,open_interest,futures_trade_count,reserveRisk,puellMultiple,funding_rate_mean
2022-10-01,19310.95,19422.61,19484.0,19159.42,10498150401.534143,19304.0,5685550297.42183,1311.6444091796875,1662.4000244140625,3.441999912261963,21461.7,8795567.0,-0.1014,21856975.66945582,148247347138.0,282168375.28330106,,3899423.0,0.0005147255,0.54,6.734333333333334e-05
2022-10-02,19056.8,19312.24,19395.91,18920.35,12039397954.851051,19049.4,7957458596.47117,1276.093505859375,1662.4000244140625,3.441999912261963,21461.7,8795567.0,-0.1183,18847330.016340613,148253624203.0,244753785.44980425,,5153819.0,0.000511492,0.548,5.154000000000001e-05
2022-10-03,19629.08,19057.74,19719.1,18959.68,17402696949.801594,19622.0,12026295294.53641,1323.439208984375,1692.9000244140625,3.4579999446868896,21461.7,8795567.0,-0.0831,18600222.496318616,148290251208.0,240076960.0369605,,7617643.0,0.0005208823,0.602,7.437333333333334e-05
2022-10-04,20337.82,19629.08,20475.0,19490.6,20763070359.994045,20333.0,15931560832.40438,1362.1265869140625,1721.0999755859375,3.5179998874664307,21461.7,8795567.0,-0.0454,20357651.49830596,148065629143.0,254107431.7857408,,9098554.0,0.0005402428,0.642,0.0001
2022-10-05,20158.26,20337.82,20365.6,19730.0,18857916306.790287,20150.0,14444920350.12968,1352.837158203125,1711.4000244140625,3.532500028610229,21461.7,8759053.0,-0.0547,21996219.80125855,148022348683.0,272814728.9473646,,8181154.0,0.0005344543,0.578,0.0001
2022-10-06,19960.67,20158.26,20456.6,19853.0,20252989747.88409,19954.0,15747127411.81796,1351.70947265625,1711.699951171875,3.4749999046325684,21461.7,8759053.0,-0.0651,20017653.51191376,148084306312.0,247871668.31007487,,9033301.0,0.0005295301,0.611,0.0001
2022-10-07,19530.09,19960.67,20068.82,19320.0,17662506674.588116,19520.9,13256159671.11093,1332.5169677734375,1700.5,3.4124999046325684,21461.7,8759053.0,-0.087,21080520.47604307,148134434222.0,266578963.22682327,,7857362.0,0.0005200493,0.622,9.171e-05
2022-10-08,19417.96,19530.09,19627.38,19237.14,9772812966.965555,19406.2,4925720956.06823,1315.50048828125,1700.5,3.4124999046325684,21461.7,8759053.0,-0.0934,21306393.79616604,148314955929.0,272814728.9473646,,3358062.0,0.0005132605,0.563,5.114666666666666e-05
2022-10-09,19439.02,19416.52,19558.0,19316.04,9821631838.34316,19430.0,5194156496.34906,1322.604248046875,1700.5,3.4124999046325684,21461.7,8759053.0,-0.0926,19204518.532944005,148308687915.0,246312725.75750184,,3370823.0,0.0005168261,0.592,2.324333333333333e-05
2022-10-10,19131.87,19439.96,19525.0,19020.25,16286943299.994097,19124.0,10812283652.88902,1291.337646484375,1667.300048828125,3.4535000324249268,21461.7,8759053.0,-0.1077,20273155.991041742,148299364750.0,282818946.6660149,,6254934.0,0.0005109807,0.552,7.436666666666667e-05
2022-10-11,19060.0,19131.87,19268.09,18860.0,18258872281.90949,19055.0,11498533040.99648,1279.57568359375,1678.699951171875,3.477999925613404,21461.7,8759053.0,-0.114,18706908.3156336,148115510403.0,277924882.7693476,,6508756.0,0.0005048119,0.485,0.0001
2022-10-12,19155.53,19060.0,19238.31,18965.88,16529905291.217575,19148.0,7770793558.69373,1294.9063720703125,1670.300048828125,3.444499969482422,21461.7,8758969.0,-0.106,16366386.443056136,148016544693.0,242520438.89338887,,4773862.0,0.0005087433,0.515,0.0001
2022-10-13,19375.13,19155.1,19513.79,18190.0,28125829582.81096,19365.5,20803755671.58129,1288.1239013671875,1670.0,3.4674999713897705,21461.7,8758969.0,-0.0925,16906227.0074569,147507682090.0,253141772.82091248,,11745297.0,0.0005146026,0.557,7.133999999999999e-05
2022-10-14,19176.93,19375.58,19951.87,19070.37,23859242727.59171,19164.6,16828184593.54722,1297.422119140625,1641.699951171875,3.450500011444092,21461.7,8758969.0,-0.1041,19035428.52595654,147090907234.0,276154659.1735337,,9285398.0,0.0005075626,0.541,7.21e-05
2022-10-15,19069.39,19176.93,19227.68,18975.18,9844302581.888512,19060.4,4616795782.81949,1274.8717041015625,1641.699951171875,3.450500011444092,21461.7,8758969.0,-0.1102,18183923.73805718,146665786788.0,269073772.43763787,,2995986.0,0.0005050697,0.519,4.217333333333333e-05
2022-10-16,19262.98,19068.4,19425.84,19063.74,11063382537.204865,19251.9,5145257703.0476,1306.296630859375,1641.699951171875,3.450500011444092,21461.7,8758969.0,-0.099,17263078.48775347,146649046663.0,254911993.86760643,,3310547.0,0.0005095635,0.551,2.1966666666666668e-05
2022-10-17,19549.86,19262.98,19676.96,19152.03,15744560301.71518,19540.6,9769309074.28858,1331.713623046875,1657.0,3.4554998874664307,21461.7,8758969.0,-0.0815,18209193.415890835,146568433259.0,265533327.79513,,5565499.0,0.000516527,0.517,3.876333333333333e-05
2022-10-18,19327.44,19548.48,19706.66,19091.0,17953877863.943073,19320.9,12327590621.92813,1310.447021484375,1649.0,3.406500101089477,21461.7,8758969.0,-0.0941,17280378.312182505,146375527995.0,251371549.2250985,,6634478.0,0.0005102539,0.546,0.0001
2022-10-19,19123.97,19327.44,19360.16,19065.97,12845526863.54297,19116.7,7760139097.5399,1285.7442626953125,1627.5,3.3605000972747803,21461.7,8743922.0,-0.1054,18136978.31829193,146284731120.0,267303548.841824,,4701225.0,0.000507095,0.524,9.199333333333332e-05
2022-10-20,19041.92,19123.35,19347.82,18900.0,13949893391.737753,19034.7,10277064463.57478,1283.200927734375,1630.800048828125,3.450999975204468,21461.7,8743922.0,-0.1108,17331026.845788885,146192513290.0,256682214.9143004,,5714294.0,0.0005036802,0.57,6.038666666666667e-05
2022-10-21,19164.37,19041.92,19250.0,18650.0,16802519052.784649,19150.9,11058978810.26926,1299.9464111328125,1651.0,3.5230000019073486,21461.7,8743922.0,-0.1024,18576513.047277607,145793579384.0,276154659.1735337,,5831938.0,0.0005058766,0.499,2.767e-05
2022-10-22,19204.35,19164.37,19257.0,19112.72,7589870759.934833,19195.1,3337193018.901,1314.2991943359375,1651.0,3.5230000019073486,21461.7,8743922.0,-0.0997,16300314.640525302,145582793789.0,240750215.29757497,,2020983.0,0.000507037,0.581,3.9206666666666665e-05
2022-10-23,19570.4,19204.29,19695.0,19070.11,11174880289.961884,19560.7,6943907525.50088,1363.447021484375,1651.0,3.5230000019073486,21461.7,8743922.0,-0.0796,18684681.892759312,145647085357.0,274810664.8495725,,3703003.0,0.0005141933,0.506,3.499e-05
2022-10-24,19329.72,19570.4,19601.15,19157.0,15463198472.823765,19318.1,9216319528.28483,1344.99853515625,1648.699951171875,3.4795000553131104,21461.7,8743922.0,-0.092,16452415.265187591,145685546357.0,249031191.57743755,,4997757.0,0.0005106322,0.474,7.442666666666668e-05
2022-10-25,20080.07,19330.6,20415.87,19237.0,22059959540.824383,20068.3,15400549183.34802,1461.6654052734375,1652.800048828125,3.450500011444092,21461.7,8743922.0,-0.0513,15035462.209132127,145349154018.0,223395628.20390147,,8249206.0,0.0005309169,0.625,4.3933333333333335e-05
2022-10-26,20771.59,20079.02,21020.0,20050.41,26024649211.239326,20758.3,17352691191.05276,1566.566650390625,1664.0,3.629499912261963,21461.7,8723090.0,-0.0163,19963044.490285043,145239672119.0,283822315.5587801,,9185267.0,0.0005463521,0.533,4.676666666666667e-05
2022-10-27,20295.11,20771.61,20872.21,20200.0,20485709296.450657,20285.5,12645404154.35179,1514.3748779296875,1660.699951171875,3.625499963760376,21461.7,8723090.0,-0.0421,17376094.382303838,145408854503.0,247200081.0379568,,7394748.0,0.0005359063,0.639,-2.956666666666666e-06
2022-10-28,20591.84,20295.11,20750.0,20000.09,17257347537.54042,20582.8,12129765185.26634,1555.4779052734375,1639.5999755859375,3.4660000801086426,21461.7,8723090.0,-0.0256,20260705.189409822,145339765736.0,291146762.99030495,,6837288.0,0.0005415381,0.583,-1.0533333333333325e-06
2022-10-29,20809.67,20591.84,21085.0,20554.01,16204023448.212276,20796.7,10032159490.8777,1619.698486328125,1639.5999755859375,3.4660000801086426,21461.7,8723090.0,-0.0158,18582441.15020962,145503248971.0,261848975.90100643,,5626665.0,0.00054808,0.548,3.8146666666666665e-05
2022-10-30,20627.48,20809.68,20931.21,20515.0,12497648228.988825,20615.6,6114966321.62948,1590.7833251953125,1639.5999755859375,3.4660000801086426,21461.7,8723090.0,-0.0248,17482564.5227965,145601364670.0,247200081.0379568,,3776491.0,0.0005407203,0.699,1.944e-05
2022-10-31,20490.74,20627.48,20845.92,20237.95,19801493457.88981,20482.0,9815305143.42379,1572.7144775390625,1635.9000244140625,3.4135000705718994,21461.7,8723090.0,-0.0308,22181404.33546525,145740843672.0,316782326.36384094,,5791765.0,0.0005378583,0.584,1.637333333333333e-05
2022-11-01,20483.62,20490.74,20700.0,20330.74,21441560427.881203,20472.1,6448795091.82572,1579.70458984375,1645.0,3.509500026702881,21406.7,8723090.0,-0.0309,18457786.498733096,145353121753.0,263680086.4404872,,4004043.0,0.0005375434,0.488,3.1200000000000006e-06
2022-11-02,20151.84,20482.81,20800.0,20048.04,28340248282.38533,20140.1,13312093111.48019,1519.7117919921875,1645.699951171875,3.505500078201294,21406.7,8676870.0,-0.0477,15569837.046580778,145392677978.0,223395628.20390147,,7128825.0,0.0005274767,0.661,4.012e-05
2022-11-03,20207.82,20151.84,20393.32,20031.24,22633698200.14048,20199.7,7526916784.08875,1531.541748046875,1627.300048828125,3.4565000534057617,21406.7,8676870.0,-0.0449,20763060.11965802,145260160757.0,300302320.96131057,,4241085.0,0.0005300886,0.546,3.353333333333333e-05
2022-11-04,21148.52,20207.12,21302.05,20180.96,31182094793.655342,21137.6,17139316861.70927,1645.0933837890625,1672.5,3.714499950408936,21406.7,8676870.0,0.001,16751061.776011914,145384631560.0,236213409.89066955,,8250608.0,0.0005553417,0.645,4.1586666666666666e-05
2022-11-05,21299.37,21148.52,21480.65,21080.65,19359740017.570625,21289.9,6482077789.53821,1627.968017578125,1672.5,3.714499950408936,21406.7,8676870.0,0.0071,20141604.58334347,145567961467.0,276497868.12725526,,4113962.0,0.000558081,0.578,6.316666666666667e-05
2022-11-06,20905.58,21299.37,21365.27,20886.13,17531750941.469078,20900.0,5867597250.95476,1572.2347412109375,1672.5,3.714499950408936,21406.7,8676870.0,-0.0087,18156191.676309943,145603069949.0,250862304.7537192,,3270784.0,0.0005535201,0.599,7.696333333333332e-05
2022-11-07,20591.13,20905.58,21069.77,20384.89,26567358359.197765,20578.6,11501587222.14423,1568.59130859375,1676.5,3.629499912261963,21406.7,8676870.0,-0.0245,18667525.73698353,146010009605.0,263168681.007737,,5698732.0,0.0005354198,0.613,9.271e-05
2022-11-08,18547.23,20590.67,20700.88,17166.83,56384468536.22727,18534.0,39317019209.93521,1332.8355712890625,1712.0999755859375,3.705499887466431,21406.7,8676870.0,-0.1354,19613585.397823047,146993704011.0,297875785.7478076,,20183788.0,0.0004827055,0.479,5.057666666666666e-05
2022-11-09,15922.81,18545.38,18587.76,15588.0,54667934157.20334,15905.0,35439309964.8887,1100.1697998046875,1710.0999755859375,3.741499900817871,21406.7,8678886.0,-0.3263,15989302.17926279,147256809778.0,272291362.9163776,,22534517.0,0.000414559,0.528,-0.00013185
2022-11-10,17601.15,15922.68,18199.0,15754.26,39155194739.08572,17588.0,25510406114.43922,1299.464599609375,1750.300048828125,3.796000003814697,21406.7,8678886.0,-0.1906,15600672.981290763,145506489356.0,268636444.99309605,,17840762.0,0.0004660597,0.466,-0.00084986
2022-11-11,17070.31,17602.45,17695.0,16361.6,29702821662.867973,17058.3,16277121145.55291,1287.2210693359375,1766.0,3.950999975204468,21406.7,8678886.0,-0.2325,14261620.452767497,145999235593.0,244879482.43907723,,12235683.0,0.0004420479,0.578,-0.0001084366666666
2022-11-12,16812.08,17069.98,17119.1,16631.39,19718023620.496857,16806.9,5128002410.89517,1255.268310546875,1766.0,3.950999975204468,21406.7,8678886.0,-0.2401,17553192.69032397,145887113216.0,305185621.59437066,,4618446.0,0.0004398583,0.436,3.1383333333333335e-05
2022-11-13,16329.85,16813.16,16954.28,16229.0,17371293325.226234,16321.2,5801587266.16716,1221.8192138671875,1766.0,3.950999975204468,21406.7,8678886.0,-0.2734,13383763.311439252,145218471298.0,235742186.31510308,,4794317.0,0.0004289393,0.426,-1.4026666666666667e-05
2022-11-14,16619.46,16331.78,17190.0,15815.21,28771564927.16023,16605.2,15414723480.12307,1241.604248046875,1773.5999755859375,3.8550000190734863,21406.7,8678886.0,-0.2479,12645325.358345956,145042955456.0,224777435.1767992,,11306187.0,0.0004278638,0.546,-4.195333333333334e-05
2022-11-15,16900.57,16617.72,17134.69,16527.72,18887214897.96991,16888.3,10938869739.93734,1251.7362060546875,1773.800048828125,3.839499950408936,21406.7,8678886.0,-0.229,16304288.589189269,144884182956.0,283256116.68622214,,7742990.0,0.0004394414,0.524,-8.771333333333333e-05
2022-11-16,16662.76,16900.57,17015.92,16378.61,17980236301.741703,16650.6,8944296635.42915,1215.6025390625,1773.0,3.788000106811523,21406.7,8625620.0,-0.2406,15614816.357775684,144900892337.0,274118823.1937887,,6572825.0,0.0004326706,0.485,-6.237333333333334e-05
2022-11-17,16692.56,16661.61,16751.0,16410.74,16530950744.14367,16682.1,6784537154.32738,1200.80859375,1760.800048828125,3.689500093460083,21406.7,8625620.0,-0.2342,14308553.658839673,144487426641.0,252189315.6540996,,4685537.0,0.0004346225,0.489,-4.127e-05
2022-11-18,16700.45,16692.56,17011.0,16546.04,16415706295.093077,16689.7,6506820289.13927,1212.30029296875,1751.9000244140625,3.631999969482422,21406.7,8625620.0,-0.2217,14541979.15203249,144096181023.0,254016775.9315107,,4357462.0,0.0004338593,0.52,1.7233333333333337e-06
2022-11-19,16700.68,16699.43,16822.41,16553.53,11095932257.95616,16692.9,2861333541.4962,1218.4267578125,1751.9000244140625,3.631999969482422,21406.7,8625620.0,-0.2186,15278242.179017384,144327818220.0,268636444.99309605,,2122725.0,0.0004350566,0.515,4.094666666666667e-05
2022-11-20,16280.23,16700.68,16753.33,16180.0,15215737668.505518,16272.6,5406658335.48391,1142.4666748046875,1751.9000244140625,3.631999969482422,21406.7,8625620.0,-0.2513,15406552.063268378,144299328169.0,272422405.82229453,,3505920.0,0.0004230953,0.435,5.98e-06
2022-11-21,15781.29,16279.5,16319.0,15476.0,24853864530.00713,15773.0,12615525683.34995,1108.35302734375,1737.4000244140625,3.571500062942505,21406.7,8625620.0,-0.286,12885708.197492149,144367982011.0,236949653.0891525,,7865452.0,0.0004093729,0.437,2.994e-05
2022-11-22,16226.94,15781.29,16315.0,15616.63,21814559166.17701,16220.6,9247607752.32879,1135.1734619140625,1738.300048828125,3.614500045776367,21406.7,8625620.0,-0.2531,12560770.835570026,143511938135.0,231439196.90173665,,6310827.0,0.0004202127,0.502,8.096666666666667e-06
2022-11-23,16603.11,16227.96,16706.0,16160.2,22585406933.03461,16595.8,9010060479.37584,1183.1995849609375,1744.9000244140625,3.617500066757202,21406.7,8621390.0,-0.2233,14517117.573432636,143490296292.0,258991483.12885457,,6162241.0,0.0004286724,0.462,6.338666666666667e-05
2022-11-24,16598.95,16603.11,16812.63,16458.05,18029047943.22868,16592.4,5829469816.57378,1203.983154296875,1744.9000244140625,3.617500066757202,21406.7,8621390.0,-0.2219,13378566.170994395,142891062478.0,236949653.0891525,,4168425.0,0.000431275,0.44,4.568e-05
2022-11-25,16522.14,16599.55,16666.0,16342.81,13320412281.389832,16516.1,5053312513.9595,1198.9259033203125,1753.300048828125,3.626499891281128,21406.7,8621390.0,-0.2255,12667835.520216564,143112788176.0,225928740.7143208,,3423011.0,0.0004290347,0.389,1.2826666666666664e-05
2022-11-26,16458.57,16521.35,16701.99,16385.0,12108092315.933935,16449.2,4194530429.9317,1205.89794921875,1753.300048828125,3.626499891281128,21406.7,8621390.0,-0.2304,11274221.64790456,142756642497.0,200213272.3346683,,2900908.0,0.0004259475,0.487,1.6423333333333333e-05
2022-11-27,16428.78,16457.61,16600.0,16401.0,11261045085.47441,16422.6,3128892691.8766,1195.126953125,1753.300048828125,3.626499891281128,21406.7,8621390.0,-0.23835,14052615.381889224,142978354993.0,249807385.956469,,2253781.0,0.0004300736,0.493,5.936666666666664e-06
2022-11-28,16212.91,16428.77,16487.04,15995.27,16969851781.198244,16204.5,8055102077.13727,1170.086181640625,1740.0999755859375,3.61050009727478,21406.7,8621390.0,-0.2463,14079124.233261526,142955653873.0,255317844.78890425,,5248564.0,0.0004206636,0.473,9.533333333333334e-06
2022-11-29,16442.53,16212.18,16548.71,16100.0,16112651849.40344,16433.2,6420893173.50274,1216.9012451171875,1748.4000244140625,3.630000114440918,21406.7,8621390.0,-0.2283,13418988.908145463,141918243373.0,240623291.4291028,,4140295.0,0.000427102,0.522,2.8486666666666663e-05
2022-11-30,17163.64,16442.91,17249.0,16428.3,20615182606.659904,17153.3,10484678949.19782,1295.6885986328125,1746.0,3.7295000553131104,21406.7,8584576.0,-0.1754,14577928.989959411,141295586476.0,253481024.2964193,,6268077.0,0.0004425291,0.573,5.6510000000000006e-05
2022-12-01,16977.37,17165.53,17324.0,16855.01,17154735455.123549,16970.5,7012379504.74513,1276.27392578125,1801.0999755859375,3.813999891281128,21290.9,8584576.0,-0.1897,16298386.300691502,141118908989.0,281033310.52353734,,4243775.0,0.0004392506,0.473,2.0093333333333336e-05
2022-12-02,17092.74,16978.0,17105.73,16787.85,15155877009.620222,17083.0,5677269598.4332,1294.3033447265625,1795.9000244140625,3.848000049591065,21290.9,8584576.0,-0.1811,13247827.771311138,140961843705.0,229602379.0542712,,3596645.0,0.0004413056,0.493,2.425e-05
2022-12-03,16885.2,17092.13,17188.98,16858.74,12978333118.376669,16879.5,3142125597.7286,1243.3348388671875,1795.9000244140625,3.848000049591065,21290.9,8584576.0,-0.193,13894815.355427949,141219846971.0,240623291.4291028,,2192010.0,0.0004372052,0.535,6.141666666666666e-05
2022-12-04,17105.7,16885.2,17202.84,16878.25,13379330025.784595,17099.5,4972708169.3658,1280.256591796875,1795.9000244140625,3.848000049591065,21290.9,8584576.0,-0.1769,14895522.639448771,141387010836.0,257154662.63636968,,3045097.0,0.000442287,0.555,5.7306666666666665e-05
2022-12-05,16966.35,17106.65,17424.25,16867.0,15685198323.89712,16958.3,8927523671.51991,1259.6767578125,1767.4000244140625,3.7894999980926514,21290.9,8584576.0,-0.1839,15678819.495324174,141501518333.0,268175577.6562208,,5348288.0,0.0004379283,0.519,1.4633333333333324e-06
2022-12-06,17088.96,16966.35,17107.01,16906.37,13849087288.485737,17078.6,5459567210.6866,1271.65380859375,1769.300048828125,3.811500072479248,21290.9,8584576.0,-0.1759,14345543.975435596,141254833285.0,230616963.69146737,,3533230.0,0.0004385046,0.654,2.8763333333333333e-05
2022-12-07,16836.64,17088.96,17142.21,16678.83,13296123476.328823,16828.0,5692590254.44704,1232.4375,1785.5,3.8554999828338623,21290.9,8582735.0,-0.1912,18137206.388589032,141123057709.0,292794731.64825046,,3349134.0,0.0004349438,0.652,2.351e-05
2022-12-08,17224.1,16836.64,17299.0,16733.49,13806789538.290997,17216.0,6833210695.12541,1281.1163330078125,1788.699951171875,3.880500078201294,21290.9,8582735.0,-0.1642,17708516.481108077,140958965177.0,284283257.4040977,,3765362.0,0.0004441949,0.592,1.1673333333333334e-05
2022-12-09,17128.56,17224.1,17360.0,17058.21,13541605933.7672,17122.0,4985683348.1939,1264.2847900390625,1798.0999755859375,3.875999927520752,21290.9,8582735.0,-0.1696,16324973.843696397,140888652313.0,258748834.6716393,,2951155.0,0.0004417619,0.601,2.794333333333333e-05
2022-12-10,17127.49,17128.56,17227.72,17092.0,8596820930.376608,17120.0,2433765605.0113,1266.3841552734375,1798.0999755859375,3.875999927520752,21290.9,8582735.0,-0.1704,16515570.333219456,140823262370.0,262153422.4082566,,1624595.0,0.0004417983,0.574,-2.15e-06
