date,price_usd,cusum_pos,mr_score_30d,adx,cusum_neg,structural_break_score,eth_btc_ratio,m2_yoy_growth,volatility_7d,basis_ma7,nupl_ma30,hurst_60d,eth,bb_position,eth_pctchg_30d,stablecoin_zscore,btc_gold_corr_30d,stablecoin_supply_change_30d,copper_return_30d,fractal_dimension_30d,kpss_stat_30d,half_life_60d,sortino_30d,volume_sma20_ratio,aroon_down_30d,basis_pct,fed_balance_sheet,velocity,price_fracdiff_05,fed_fracdiff_05,reserveRisk,puellMultiple,funding_rate_ma7
2025-02-18,95671.74,0.0295835718156521,61.09297385926118,30.82748986587826,0.0422404404142358,50.19639427815503,0.0279195208066128,0.0086952252220944,0.2418880078284697,-0.0481303063756402,0.5704800901687078,0.5074851715911095,2669.3388671875,0.2685881226490425,-0.1681618829332319,0.5573247426351223,0.0939358440433452,0.0716715402515175,0.057060504285378,2.0,0.2105846030670597,4.060762226235722,-2.8478513529972336,0.9163506474730913,100.0,-0.0519902742439985,6813513.0,-0.0737152741093227,4.151847757673775,5.702001829725541,0.0012118773,1.089,4.827285714285714e-05
2025-02-19,96644.37,0.0291892209888219,54.80888843417466,31.91776352293203,0.0422067094266682,52.13799965727245,0.0281015235219499,0.0086952252220944,0.1858411431500832,-0.0471476693768161,0.5689655694138308,0.4408643736666924,2715.77099609375,0.3875598786109339,-0.1715248115471459,0.4967655274347956,0.077731174563641,0.0689961515481303,0.0506052011582167,2.0,0.205673416138091,3.9158190224653504,-2.716503007549115,0.7152356759897772,96.66666666666669,-0.0479800323598729,6782332.0,0.0260805850746592,4.163299727068036,5.697407805018738,0.0012248235,0.993,5.426761904761905e-05
2025-02-20,98305.0,0.0289699064821764,53.92491606597776,31.61046065016682,0.0440885975826765,54.25340319656824,0.0278719468295098,0.0086952252220944,0.202520238612548,-0.0476889861822936,0.5675618334549607,0.5472237918236952,2740.386474609375,0.6738991364418208,-0.1764196287695933,0.510205161772523,0.0897407396232145,0.0725841215291722,0.068893514328675,2.0,0.2041211128969545,3.741062611575156,-3.825026923080492,0.8014311910212792,93.33333333333331,-0.0529983215502831,6782332.0,0.0975526551459249,4.178018840817343,5.698777851845925,0.001245444,1.043,5.3369047619047625e-05
2025-02-21,96181.98,0.0289986012633311,54.94193583674945,31.810638191056864,0.0441746819261405,57.74061200003224,0.0276813355204012,0.0086952252220944,0.2621328539094147,-0.0476071330583802,0.5661047159490944,0.5737266857741519,2659.655517578125,0.3117471482554052,-0.1791755701493976,0.4699529760540721,0.120857890901006,0.0588102197989262,0.067540635533549,2.0,0.2175315036753775,4.16988271520387,-3.800357998251549,1.2239914241171015,90.0,-0.0562267485032037,6782332.0,0.051209928640038,4.150485232975648,5.699254330684411,0.0012150186,1.011,4.651619047619047e-05
2025-02-22,96551.01,0.0289881904846736,50.99882314691943,31.99651733616885,0.044143449590168,56.78484867250861,0.0286238500502651,0.0086952252220944,0.2670690686761121,-0.0500308019832193,0.5646247036975564,0.5464875906029509,2764.029296875,0.4157642485162762,-0.171134554687759,0.4898115546893533,0.1221315615672356,0.0554381170465145,0.060588430030704,2.0,0.231394562112205,4.153384419578508,-3.6908046922152247,0.4872160951311178,86.66666666666667,-0.0494142940607165,6782332.0,-0.1288215627450928,4.158819947711453,5.699522776083356,0.0012227486,1.096,5.208619047619047e-05
2025-02-23,96258.0,0.029061595744986,53.51000842005472,32.327292642096914,0.0443636653711052,56.64125614885762,0.0293057814066899,0.0225449205348804,0.2458981106497718,-0.0483100701162311,0.5632705519771974,0.4906031374351369,2821.310302734375,0.347260475541072,-0.1475257667544486,0.4499645683866717,0.11371370946597,0.0515060432896077,0.0629370590506694,2.0,0.2485218251803269,4.351475441058214,-4.265318046291385,0.5065996942909889,83.33333333333334,-0.0411394377610233,6782332.0,-0.0302380030094451,4.155855063097139,5.699703051793357,0.001208336,1.012,5.273333333333333e-05
2025-02-24,91552.88,0.0280315484105051,78.21794802145521,33.67786255251535,0.0412735233676627,56.445434153449504,0.0274847030499328,0.0217937299850474,0.4479492277211895,-0.0488100337807806,0.5616992781465738,0.5110372589155815,2513.8212890625,-0.4033911774976587,-0.2422016765953738,0.4376891908220613,0.083312521207583,0.0495312484282457,0.052913808515089,2.0,0.2977394296847191,4.628523180381444,-5.457952167380899,1.320723894148599,100.0,-0.0419211279863666,6782332.0,-0.6114079694887142,4.106710914275861,5.699835857694584,0.0011694633,0.976,4.859809523809524e-05
2025-02-25,88680.4,0.0278104839190738,72.29700109204741,35.80398961441368,0.0616100739207964,39.9812809776082,0.0281401345678151,0.0217937299850474,0.4795331371326948,-0.048035956603365,0.5595232639012109,0.5532874070170047,2493.592529296875,-0.3348318354013805,-0.2294533181906037,0.3571103065634729,0.1681758479273525,0.0469795157103691,0.0456876692132808,2.0,0.3448497010578366,6.6149532475640775,-5.694561983750851,2.301793987956522,100.0,-0.0465717340020888,6782332.0,-0.932254235583425,4.090391379183562,5.699942643531927,0.001120042,1.067,4.247523809523809e-05
2025-02-26,84250.09,0.0269349213957978,69.58507118976577,38.20500531536226,0.0996188914363382,38.78050503384426,0.0277292448262026,0.0217937299850474,0.5219251939431849,-0.0482337994704043,0.5568631274627959,0.5695677954150393,2331.45263671875,-0.3167639176184978,-0.2665898053722727,0.2258128442088788,0.1407689573647515,0.0425168683718262,0.0805281407104721,2.0,0.4278455304157669,18.490951711692755,-6.503830878010849,1.6971189590479978,100.0,-0.0493649324291481,6766101.0,-1.283066272055421,4.054205246406868,5.697633599923476,0.0010667453,1.079,4.046571428571429e-05
2025-02-27,84708.58,0.026880861202394,41.29849480085588,40.43451989481353,0.0994567108561267,36.487963560962925,0.0272149424274281,0.0217937299850474,0.4832045179641447,-0.0474893773909336,0.5542867440274512,0.5152653808145513,2305.484375,-0.101878118320951,-0.2507637148735391,0.140285966559068,0.0994422841215708,0.0385340173739379,0.0851794649888204,2.0,0.5060817427480625,15.753087992497989,-6.023591487285638,1.4441028156493467,96.66666666666669,-0.047787366993988,6766101.0,-1.1934686018589655,4.081575908822783,5.698425223387849,0.0010589256,1.04,4.288761904761905e-05
